Position,Code,R2_Score,Position_Originale
1,B3WFV2,0.013240632784232013,14
2,P0DM64,0.009153348336479778,77
3,A0AAJ7TMY1,0.0088919732391682,6
4,Q21978,0.008833283730702222,100
5,H9G343,0.008686324384157494,46
6,Q4H3K6,0.008414687781141326,108
7,G5EF00,0.007507102269197806,44
8,Q21618,0.007095198768697257,99
9,A8MTQ0,0.006934505322198857,11
10,D0VWM4,0.0064901061313247565,21
11,F2Q9X7,0.006213040559864266,34
12,O62089,0.005985324316938986,50
13,Q24570,0.005651026573703643,103
14,Q20623,0.005530437261954468,97
15,A0AAJ7T5N9,0.0054872530619328765,5
16,A0A0K3AT43,0.005464016801687337,2
17,O42145,0.005392058991350065,48
18,A0A2H4ZEZ2,0.005352734970994158,3
19,C1P638,0.005343622351928214,18
20,Q17134,0.0053389065545177425,90
21,Q90259,0.005335048848527566,130
22,Q9GYP4,0.005316499154978554,144
23,C3YWU0,0.005277756330706166,20
24,Q7KLI1,0.0052484488423465364,118
25,Q9U2R5,0.0052361297167721095,150
26,A3RMS5,0.005130286961435985,10
27,A8UWQ7,0.004864562632659275,12
28,A0A0A8WJC6,0.004863784633638728,1
29,Q966A3,0.004838646069255106,137
30,F6U472,0.00481203203336004,37
31,Q09240,0.004801652027818565,88
32,A0AAJ7U215,0.004797322640793609,7
33,A3KNI8,0.004776031798208926,9
34,Q09514,0.004763635837533066,89
35,B3GWE1,0.004755610092897028,13
36,F2Q9W8,0.004738723633710735,25
37,B6EU61,0.004727486790837604,15
38,F2Q9W6,0.004657086450939387,23
39,C0HJZ3,0.0046356766628121914,16
40,C3Y097,0.004634334284937648,19
41,C0HJZ4,0.004627682540706242,17
42,F2Q9X1,0.004622937005808349,28
43,F2Q9W7,0.004591911005242746,24
44,F2Q9W9,0.004554826659256768,26
45,F2Q9X3,0.004526591139758268,30
46,F2Q9X0,0.004512036789998976,27
47,F2Q9X8,0.0045030666853168155,35
48,F2Q9X4,0.004486007742679258,31
49,O47431,0.00448264079659009,49
50,F2Q9X5,0.004474725932098372,32
51,F2Q9X2,0.00447413318291296,29
52,F2Q9X6,0.0043988080823112756,33
53,Q9NL48,0.00439491513285714,147
54,G5EGB6,0.004373354897082171,45
55,F2Q9Y0,0.004372496946926044,36
56,F6WII6,0.0043681694214724705,38
57,F6WYU4,0.0043581909327042425,39
58,F7GH03,0.00431039652999641,42
59,F6YMJ4,0.004279942339552334,40
60,P48798,0.004270771414025933,81
61,O76629,0.004262772667904555,51
62,Q20638,0.004248228646358651,98
63,Q7TPG1,0.00420400836898996,119
64,Q2WG80,0.004201443039858444,104
65,O93548,0.004193385126145232,52
66,P02088,0.004183626592622311,59
67,P01994,0.0041792054260834455,54
68,P01942,0.004178938734213619,53
69,P02042,0.004168463452909095,58
70,P02001,0.004165812083611988,55
71,P02208,0.004163489251045313,68
72,P02762,0.004162391881412727,69
73,P02089,0.004161498040997792,60
74,A0AVK6,0.004157011855068224,8
75,P02007,0.004135824235313146,56
76,P02197,0.004119833834574064,67
77,E1NZ07,0.004118142593055384,22
78,P02127,0.004102650321665998,64
79,Q9CQE0,0.004100986633574019,139
80,P02008,0.004099294949243748,57
81,P02144,0.004091672643772991,66
82,P49141,0.0040813506773365186,82
83,P09967,0.0040801128534471015,75
84,P02100,0.004076768408372321,61
85,P09968,0.004074726548686576,76
86,P30627,0.004071587438056656,80
87,P02112,0.004062502794443827,63
88,P02104,0.004060108958853427,62
89,P04247,0.004053366888509811,70
90,P02128,0.004030948609181308,65
91,P04443,0.004027195818514019,71
92,P09105,0.004014294853099957,74
93,Q70PH6,0.004011503290292173,114
94,P04444,0.003980144152145038,72
95,P20244,0.003967692103833702,78
96,P20245,0.0039617774691651205,79
97,Q23117,0.003910539366692114,102
98,P06467,0.003907245215452434,73
99,P68871,0.0038993520004944526,84
100,Q17727,0.0038958767360018536,91
101,Q18311,0.003887436707531291,94
102,Q20015,0.0038767715700889407,96
103,Q3KN63,0.0038549826203556807,106
104,Q98980,0.0038463757504635385,138
105,P69905,0.003841747446204948,87
106,P69891,0.0038372423097481016,85
107,P69892,0.003822838871039714,86
108,Q2XNF5,0.0038137808205773805,105
109,Q22663,0.003793132232181689,101
110,Q5QSB1,0.0037757136691154865,111
111,Q3MQ62,0.0037756847322411103,107
112,Q4V6L1,0.003724779306088464,109
113,Q8AXK2,0.0037006435144269797,123
114,Q575S8,0.003699378741219307,110
115,Q19601,0.003685849340743935,95
116,Q7YWV3,0.00367802645603076,120
117,Q6VN46,0.0036635994546128817,113
118,Q70T62,0.003643439242359925,115
119,Q8UUR3,0.003642461641844791,127
120,Q70T63,0.003625799890203959,116
121,Q9VNE2,0.0035959189907873493,151
122,Q70T64,0.003588751497699331,117
123,Q7ZT21,0.003578097093239506,122
124,Q6B0K9,0.0035694665805814907,112
125,Q8WWM9,0.0035357259077274552,128
126,P61802,0.0035291141787101607,83
127,Q95J88,0.0035130027981748893,136
128,Q9ER97,0.0035056179946635303,142
129,Q9GL60,0.0035017670925312737,143
